selected_skills_count,total_questions,total_correct,accuracy_pct,avg_time_sec,overall_score,math_score,logic_score,aptitude_score,problem_score,target_score
4,20,12,60.0,32.22,59.5,89.0,33.2,52.1,66.9,60.6
4,20,16,80.0,30.1,82.0,65.0,98.4,90.1,84.8,83.6
4,20,13,65.0,37.3,66.0,10.0,82.6,98.4,51.05,68.4
4,20,10,50.0,36.72,49.5,22.0,64.2,48.0,65.85,49.6
4,20,11,55.0,38.04,53.25,26.0,60.8,59.8,57.2,55.6
4,20,10,50.0,43.83,51.5,40.0,48.6,55.0,52.35,54.2
4,20,12,60.0,43.11,59.75,34.0,58.0,58.8,61.0,60.8
4,20,8,40.0,41.45,39.0,25.0,54.8,66.2,32.35,41.2
4,20,14,70.0,27.16,70.75,28.0,77.8,85.3,72.8,72.2
4,20,11,55.0,42.59,54.25,71.0,28.8,40.9,61.1,56.4
4,20,13,65.0,37.08,66.5,55.0,62.4,70.9,66.3,68.8
4,20,11,55.0,42.25,55.0,58.0,53.8,53.3,59.9,58.6
4,20,13,65.0,36.96,66.75,29.0,79.0,72.5,71.05,74.2
4,20,10,50.0,38.88,51.38,18.0,60.0,70.75,45.67,42.4
4,20,14,70.0,26.6,72.0,72.0,85.0,83.5,76.5,73.4
4,20,10,50.0,46.71,51.75,23.0,79.2,77.4,40.15,54.4
4,20,14,70.0,38.16,70.75,35.0,78.4,75.1,70.8,66.6
4,20,14,70.0,31.06,68.75,38.0,78.4,82.0,68.1,70.6
4,20,13,65.0,29.52,65.5,41.0,72.4,76.6,69.55,71.6
4,20,12,60.0,31.72,60.62,22.0,73.8,72.85,66.08,57.8
4,20,11,55.0,35.15,53.0,44.0,61.4,64.7,56.4,54.6
4,20,12,60.0,31.77,60.5,58.0,62.4,66.2,66.6,49.0
4,20,12,60.0,32.34,59.25,39.0,73.8,64.4,70.0,60.4
4,20,14,70.0,27.27,70.5,85.0,81.0,80.8,74.7,72.0
4,20,8,40.0,48.44,41.25,30.0,41.4,63.0,28.45,43.0
4,20,15,75.0,24.46,76.75,100.0,60.8,48.8,100.0,77.0
4,20,12,60.0,38.88,62.5,61.0,56.0,69.1,59.5,65.6
4,20,12,60.0,43.0,60.0,47.0,47.8,63.7,54.15,61.0
4,20,12,60.0,43.79,58.25,37.0,67.0,57.0,62.5,59.6
4,20,12,60.0,34.77,60.5,49.0,63.6,56.1,71.3,61.4
4,20,15,75.0,24.57,76.5,72.0,85.8,81.5,85.3,76.8
4,20,9,45.0,49.97,44.5,18.0,45.0,72.9,23.1,45.6
4,20,8,40.0,50.99,42.25,11.0,52.6,64.9,28.35,43.8
4,20,14,70.0,27.5,70.0,41.0,72.2,83.0,71.4,71.6
4,20,12,60.0,39.21,61.75,32.0,70.6,71.9,61.3,62.4
4,20,15,75.0,34.15,73.0,85.0,68.4,75.4,73.35,74.0
4,20,14,70.0,35.16,70.75,78.0,77.6,73.0,74.6,72.2
4,20,13,65.0,30.2,64.0,36.0,79.2,66.1,77.65,66.8
4,20,16,80.0,34.11,79.75,68.0,79.2,72.0,86.2,79.4
